match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Pluralibacter gergoviae,species,61647,21,,,,
Bifidobacterium,genus,,21,,,,
Pluralibacter,genus,,21,,,,
Corynebacterium jeikeium,species,38289,20,,,,
Staphylococcus sp.,species,29387,20,,,,
Bacillus amyloliquefaciens,species,1390,20,,,,
Sinorhizobium meliloti,species,382,19,,,,
Leuconostoc mesenteroides,species,1245,19,,,,
Xanthomonas oryzae,species,347,19,,,,
Corynebacterium stationis,species,1705,19,,,,
Sinorhizobium,genus,,19,,,,
Arthrobacter,genus,,19,,,,
Enterococcus hirae,species,1354,18,,,,
Haemophilus Influenzae,species,727,17,,,,
Pediococcus acidilactici,species,1254,17,,,,
Bifidobacterium longum,species,216816,17,,,,
Mycobacterium vaccae,species,1810,17,,,,
Serratia sp.,species,613,16,,,,
Mycobacterium avium,species,1764,16,,,,
Achromobacter xylosoxidans,species,85698,16,,,,
Pediococcus pentosaceus,species,1255,16,,,,
Rhodococcus equi,species,1827,16,,,,
Enterobacter sp.,species,42895,16,,,,
Brucella melitensis,species,29459,16,,,,
Achromobacter,genus,,16,,,,
Microbacterium,genus,,16,,,,
Acholeplasma laidlawii,species,2148,15,,,,
Microbacterium maritypicum,species,33918,15,,,,
Staphylococcus intermedius,species,1285,15,,,,
Photobacterium damselae,species,38293,15,,,,
Acholeplasma,genus,,15,,,,
Aeromonas caviae,species,648,14,,,,
Nocardia brasiliensis,species,37326,14,,,,
Staphylococcus warneri,species,1292,14,,,,
Burkholderia pseudomallei,species,28450,14,,,,
Flavobacterium,genus,,14,,,,
Serratia rubidaea,species,61652,13,,,,
Vibrio nigripulchritudo,species,28173,13,,,,
Listeria fleischmannii,species,1069827,13,,,,
Veillonella,genus,,13,,,,
Mycoplasma,genus,,13,,,,
Limosilactobacillus,genus,,13,,,,
Actinomyces naeslundii,species,1655,12,,,,
Veillonella atypica,species,39777,12,,,,
Arthrobacter globiformis,species,1665,12,,,,
Ralstonia solanacearum,species,305,12,,,,
Streptococcus oralis,species,1303,12,,,,
Shigella sp.,species,625,12,,,,
Niallia,genus,,12,,,,
Aggregatibacter actinomycetemcomitans,species,714,11,,,,
Spiroplasma melliferum,species,2134,11,,,,
Carnobacterium maltaromaticum,species,2751,11,,,,
Limosilactobacillus fermentum,species,1613,11,,,,
Niallia circulans,species,1397,11,,,,
Enterococcus casseliflavus,species,37734,11,,,,
Streptococcus sp.,species,1306,11,,,,
Shewanella putrefaciens,species,24,11,,,,
Mycobacterium phlei,species,1771,11,,,,
Aggregatibacter,genus,,11,,,,
Shewanella,genus,,11,,,,
Corynebacterium striatum,species,43770,10,,,,
Ralstonia pickettii,species,329,10,,,,
Vibrio penaeicida,species,104609,10,,,,
Vibrio campbellii,species,680,10,,,,
Providencia,genus,,10,,,,
Staphylococcus hominis,species,1290,9,,,,
Spiroplasma citri,species,2133,9,,,,
Pantoea agglomerans,species,549,9,,,,
Lactobacillus delbrueckii,species,1584,9,,,,
Bacillus sp.,species,1386,9,,,,
Bacillus magaterium,species,1799160,9,,,,
Staphylococcus hyicus,species,1284,9,,,,
Pantoea,genus,,9,,,,
Paenibacillus,genus,,9,,,,
Streptomyces,genus,,9,,,,
Spiroplasma floricola,species,216937,8,,,,
Edwardsiella piscicida,species,1263550,8,,,,
Loigolactobacillus coryniformis,species,1610,8,,,,
Streptomyces aureus,species,193461,8,,,,
Neisseria meningitidis,species,487,8,,,,
Carnobacterium mobile,species,2750,8,,,,
Staphylococcus cohnii,species,29382,8,,,,
Acinetobacter johnsonii,species,40214,8,,,,
Pseudomonas oleovorans,species,286,8,,,,
Vibrio ordalii,species,28174,8,,,,
Acinetobacter bohemicus,species,1435036,8,,,,
Vibrio brasiliensis,species,170652,8,,,,
Mycobacterium marinum,species,1781,8,,,,
Pseudomonas mendocina,species,300,8,,,,
Peptostreptococcus,genus,,8,,,,
Loigolactobacillus,genus,,8,,,,
Rothia,genus,,8,,,,
Providencia stuartii,species,588,7,,,,
Actinomyces israelii,species,1659,7,,,,
Edwardsiella ictaluri,species,67780,7,,,,
Yersinia mollaretii,species,33060,7,,,,
Streptococcus alactolyticus,species,29389,7,,,,
Vibrio metschnikovii,species,28172,7,,,,
Clostridium septicum,species,1504,7,,,,
Arthrobacter sp.,species,1667,7,,,,
Cupriavidus necator,species,106590,7,,,,
Listeria seeligeri,species,1640,7,,,,
Bacillus simplex,species,1478,7,,,,
Streptococcus lutetiensis,species,150055,7,,,,
Geobacillus,genus,,7,,,,
Moraxella,genus,,7,,,,
Aliivibrio,genus,,7,,,,
Cupriavidus,genus,,7,,,,
Acinetobacter hebeiensis,species,346222,6,,,,
Actinomyces viscosus,species,1656,6,,,,
Flavobacterium psychrophilum,species,96345,6,,,,
Avibacterium avium,species,751,6,,,,
Moraxella catarrhalis,species,480,6,,,,
Planococcus citreus,species,1373,6,,,,
Lapidilactobacillus dextrinicus,species,51664,6,,,,
Carnobacterium divergens,species,2748,6,,,,
Burkholderia glumae,species,337,6,,,,
Enterobacter asburiae,species,61645,6,,,,
Brenneria,genus,,6,,,,
Avibacterium,genus,,6,,,,
Weissella,genus,,6,,,,
Ureaplasma,genus,,6,,,,
Planococcus,genus,,6,,,,
Lapidilactobacillus,genus,,6,,,,
Dickeya,genus,,6,,,,
Xanthomonas citri,species,346,5,,,,
Klebsiella sp.,species,576,5,,,,
Brenneria salicis,species,55214,5,,,,
Mycoplasma gallisepticum,species,2096,5,,,,
Mycoplasma mycoides,species,2102,5,,,,
Flavobacterium columnare,species,996,5,,,,
Corynebacterium bovis,species,36808,5,,,,
Vibrio aestuarianus,species,28171,5,,,,
Prevotella melaninogenica,species,28132,5,,,,
Fusobacterium varium,species,856,5,,,,
Clostridium tertium,species,1559,5,,,,
Peptoniphilus asaccharolyticus,species,1258,5,,,,
Peptostreptococcus anaerobius,species,1261,5,,,,
Mammaliicoccus lentus,species,42858,5,,,,
Enterococcus durans,species,53345,5,,,,
Burkholderia gladioli,species,28095,5,,,,
Chromobacterium violaceum,species,536,5,,,,
Stenotrophomonas sp.,species,69392,5,,,,
Proteus sp.,species,583,5,,,,
Bacillus mycoides,species,1405,5,,,,
Photobacterium halotolerans,species,265726,5,,,,
Photobacterium angustum,species,661,5,,,,
Enterobacter hormaechei,species,158836,5,,,,
Mycobacterium wolinskyi,species,59750,5,,,,
Dickeya dadantii,species,204038,5,,,,
Acidipropionibacterium,genus,,5,,,,
